,tract,COMM,med_hh_income,med_hh_income_universe,Total Population,Total Hispanic/Latine Population,Total Non-Hispanic/Latine Population,"Total Non-Hispanic/Latine Population, One Race","Total White, Non-Hispanic/Latine","Total Black, Non-Hispanic/Latine","Total American Indian/American Native, Non-Hispanic/Latine","Total Asian, Non-Hispanic/Latine"
880,06037232120,West Vernon,44110.0,1473.0,5019.0,4019.0,1000.0,941.0,59.0,807.0,16.0,31.0
879,06037232120,South Park,44110.0,1473.0,5019.0,4019.0,1000.0,941.0,59.0,807.0,16.0,31.0
543,06037192610,Melrose,44045.0,1433.0,4149.0,2782.0,1367.0,1304.0,527.0,163.0,10.0,567.0
886,06037232601,West Vernon,43958.0,551.0,2052.0,1513.0,539.0,490.0,19.0,451.0,0.0,8.0
811,06037221710,West Adams,43938.0,965.0,2596.0,1817.0,779.0,732.0,231.0,149.0,3.0,335.0
229,06037124300,North Hollywood,43807.0,1173.0,3830.0,2373.0,1457.0,1344.0,1016.0,107.0,3.0,198.0
732,06037212900,Country Club Park,43788.0,1471.0,3721.0,1923.0,1798.0,1703.0,361.0,348.0,1.0,965.0
847,06037228320,Vernon Central,43770.0,718.0,3023.0,2751.0,272.0,258.0,24.0,212.0,2.0,2.0
1142,06037294110,Wilmington,43724.0,1070.0,3876.0,3361.0,515.0,450.0,190.0,69.0,14.0,132.0
510,06037190520,Thai Town,43688.0,1556.0,3489.0,1186.0,2303.0,2179.0,1471.0,154.0,7.0,520.0
849,06037228420,South Park,43661.0,691.0,3041.0,2759.0,282.0,265.0,24.0,206.0,3.0,17.0
739,06037213402,Pico-Union,43603.0,1740.0,5119.0,3394.0,1725.0,1665.0,254.0,194.0,3.0,1180.0
838,06037226420,Central,43464.0,1330.0,5026.0,4401.0,625.0,596.0,53.0,331.0,3.0,194.0
1105,06037275500,Del Rey,43393.0,1812.0,5307.0,3392.0,1915.0,1759.0,853.0,436.0,3.0,431.0
258,06037127220,Van Nuys,43188.0,1687.0,4993.0,2959.0,2034.0,1925.0,1096.0,229.0,11.0,538.0
858,06037229300,South Park,43176.0,1440.0,5642.0,4815.0,827.0,761.0,76.0,613.0,13.0,37.0
781,06037218500,Cloverdale/Cochran,43156.0,959.0,2810.0,1517.0,1293.0,1215.0,347.0,705.0,6.0,136.0
264,06037127604,Lake Balboa,43097.0,1498.0,3194.0,1756.0,1438.0,1348.0,845.0,195.0,1.0,289.0
914,06037236206,Baldwin Hills,42831.0,1304.0,2571.0,1154.0,1417.0,1316.0,112.0,1112.0,9.0,57.0
147,06037117520,North Hills,42738.0,1082.0,3961.0,3338.0,623.0,583.0,157.0,171.0,6.0,228.0
186,06037121801,North Hollywood,42700.0,1086.0,3854.0,2679.0,1175.0,1113.0,579.0,207.0,0.0,295.0
1170,06037297110,San Pedro,42679.0,1560.0,4298.0,2677.0,1621.0,1504.0,816.0,372.0,21.0,205.0
943,06037239502,Florence-Firestone,42621.0,911.0,3697.0,2945.0,752.0,726.0,59.0,628.0,6.0,11.0
40,06037104703,Pacoima,42589.0,583.0,2572.0,2171.0,401.0,360.0,153.0,93.0,4.0,109.0
39,06037104701,Pacoima,42542.0,886.0,4601.0,4336.0,265.0,229.0,63.0,131.0,1.0,31.0
589,06037199802,Lincoln Heights,42500.0,612.0,2144.0,1172.0,972.0,931.0,53.0,7.0,8.0,859.0
828,06037224310,Pico-Union,42417.0,611.0,2090.0,1667.0,423.0,399.0,167.0,95.0,1.0,127.0
699,06037211202,Wilshire Center,42389.0,905.0,2693.0,1580.0,1113.0,1034.0,341.0,85.0,5.0,586.0
848,06037228410,Central,42337.0,731.0,3129.0,2889.0,240.0,209.0,32.0,132.0,4.0,18.0
937,06037239202,Florence-Firestone,42332.0,1215.0,5013.0,4280.0,733.0,674.0,40.0,609.0,2.0,8.0
676,06037208903,Westlake,42285.0,1083.0,3888.0,3301.0,587.0,534.0,109.0,134.0,21.0,255.0
733,06037213100,Koreatown,42250.0,1043.0,2507.0,765.0,1742.0,1700.0,237.0,232.0,0.0,1221.0
840,06037226702,Central,42217.0,892.0,2884.0,2629.0,255.0,235.0,42.0,164.0,4.0,14.0
666,06037208502,Temple-Beaudry,42129.0,1492.0,3540.0,2403.0,1137.0,1088.0,301.0,133.0,7.0,628.0
321,06037133102,Reseda,41875.0,1420.0,3376.0,1197.0,2179.0,2053.0,1491.0,167.0,19.0,349.0
710,06037211804,Little Bangladesh,41843.0,1315.0,3247.0,986.0,2261.0,2207.0,218.0,115.0,7.0,1842.0
919,06037237202,Harvard Park,41792.0,1237.0,4414.0,2785.0,1629.0,1466.0,64.0,1333.0,6.0,25.0
962,06037240800,Century Palms/Cove,41768.0,1132.0,4438.0,3140.0,1298.0,1254.0,47.0,1152.0,3.0,23.0
981,06037242700,Watts,41731.0,1426.0,5932.0,4657.0,1275.0,1234.0,58.0,1123.0,3.0,22.0
784,06037218702,Wellington Square,41705.0,868.0,2199.0,1273.0,926.0,865.0,175.0,576.0,4.0,89.0
194,06037122122,Sun Valley,41591.0,644.0,2750.0,2161.0,589.0,560.0,325.0,74.0,3.0,60.0
224,06037124104,North Hollywood,41573.0,1049.0,2519.0,1534.0,985.0,922.0,637.0,153.0,1.0,110.0
544,06037192620,Melrose,41553.0,1200.0,3260.0,1978.0,1282.0,1215.0,280.0,95.0,3.0,800.0
893,06037234002,Leimert Park,41462.0,982.0,2977.0,1519.0,1458.0,1348.0,132.0,1108.0,4.0,72.0
972,06037241202,Figueroa Park Square,41458.0,1556.0,5148.0,3025.0,2123.0,1997.0,77.0,1817.0,1.0,42.0
971,06037241202,Century Palms/Cove,41458.0,1556.0,5148.0,3025.0,2123.0,1997.0,77.0,1817.0,1.0,42.0
208,06037123304,North Hollywood,41438.0,1808.0,4518.0,2215.0,2303.0,2210.0,1856.0,148.0,4.0,185.0
358,06037135116,Canoga Park,41429.0,1022.0,1718.0,327.0,1391.0,1296.0,886.0,152.0,6.0,244.0
630,06037206010,Wholesale District,41395.0,1418.0,3335.0,1617.0,1718.0,1662.0,334.0,151.0,3.0,1156.0
719,06037212303,Koreatown,41328.0,1643.0,3486.0,1861.0,1625.0,1523.0,455.0,214.0,9.0,823.0
520,06037191201,East Hollywood,41288.0,1732.0,4072.0,1130.0,2942.0,2778.0,2162.0,116.0,9.0,468.0
607,06037203300,Boyle Heights,41250.0,433.0,2280.0,1460.0,820.0,762.0,210.0,284.0,7.0,254.0
518,06037191110,Little Armenia,41211.0,1093.0,3141.0,1056.0,2085.0,2018.0,1515.0,102.0,2.0,379.0
810,06037221602,West Adams,41125.0,923.0,2693.0,2256.0,437.0,408.0,108.0,103.0,14.0,178.0
938,06037239310,Florence-Firestone,41121.0,1012.0,4031.0,3285.0,746.0,697.0,76.0,563.0,4.0,21.0
939,06037239310,Harvard Park,41121.0,1012.0,4031.0,3285.0,746.0,697.0,76.0,563.0,4.0,21.0
924,06037237600,Harvard Park,41076.0,1165.0,4112.0,3243.0,869.0,822.0,40.0,724.0,2.0,20.0
588,06037199801,Lincoln Heights,41027.0,903.0,3036.0,1946.0,1090.0,1066.0,92.0,38.0,2.0,929.0
1165,06037296600,San Pedro,40991.0,2010.0,5305.0,3792.0,1513.0,1372.0,721.0,382.0,10.0,191.0
522,06037191204,East Hollywood,40962.0,790.0,1862.0,771.0,1091.0,1052.0,685.0,53.0,3.0,297.0
1131,06037292001,Harbor Gateway,40957.0,1379.0,4791.0,3101.0,1690.0,1598.0,277.0,574.0,11.0,666.0
854,06037228800,Vernon Central,40955.0,1236.0,5709.0,4944.0,765.0,712.0,70.0,504.0,1.0,108.0
1189,06037980015,Harbor City,40938.0,444.0,1267.0,403.0,864.0,788.0,221.0,374.0,7.0,169.0
